"100","[30\106\80]","","","","","","","","","","","[30\106\80]",""
"100","=D2&"" ""","","1","Resource Drift 4","Main Sequence","G-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"101","=D3&"" I""","","1","Resource Drift 4","Asteroid Belt","Asteroid Belt","Tiny","Hot","Type IV","None","N/A","[0/9/1]",""
"102","=D4&"" II""","","1","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Warm","Type III","Crushing","N/A","[1/1/3]",""
"103","=D5&"" IIa""","","1","Resource Drift 4","Ring","Ring","Tiny","Warm","Type IV","None","N/A","[0/4/0]",""
"104","=D6&"" IIb""","","1","Resource Drift 4","Moon","Scorched","Small","Warm","Type IV","None","Airless","[0/7/2]",""
"105","=D7&"" IIc""","","1","Resource Drift 4","Moon","Scorched","Tiny","Warm","Type IV","None","Airless","[2/8/4]",""
"106","=D8&"" IId""","","1","Resource Drift 4","Moon","Scorched","Small","Warm","Type IV","None","Airless","[0/6/3]",""
"107","=D9&"" IIe""","","1","Resource Drift 4","Moon","Scorched","Tiny","Warm","Type IV","None","Airless","[1/5/3]",""
"108","=D10&"" IIf""","","1","Resource Drift 4","Ring","Ring","Tiny","Warm","Type IV","None","N/A","[0/4/0]",""
"109","=D11&"" IIg""","","1","Resource Drift 4","Moon","Arid","Small","Warm","Type III","Thin","Lacustrine","[1/8/0]",""
"110","=D12&"" III""","","1","Resource Drift 4","Terrestrial Planet","Pelagic","Large","Moderate","Type III","Standard","Thalassic","[6/0/5]",""
"111","=D13&"" IV""","","1","Resource Drift 4","Asteroid Belt","Asteroid Belt","Huge","Cool","Type IV","None","N/A","[0/11/2]",""
"112","=D14&"" V""","","1","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Cold","Type III","Crushing","N/A","[4/1/1]",""
"113","=D15&"" Va""","","1","Resource Drift 4","Moon","Alpine","Small","Cold","Type I","Thin","Desertic","[2/8/3]",""
"114","=D16&"" Vb""","","1","Resource Drift 4","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/7/6]",""
"115","=D17&"" Vc""","","1","Resource Drift 4","Moon","Alpine","Small","Cold","Type II","Dense","Lacustrine","[1/7/6]",""
"116","=D18&"" Vd""","","1","Resource Drift 4","Moon","Vents","Small","Cold","Type II","Standard","Abyssal","[7/1/2]",""
"117","=D19&"" Ve""","","1","Resource Drift 4","Ring","Ring","Tiny","Cold","Type IV","None","N/A","[0/3/4]",""
"118","=D20&"" VI""","","1","Resource Drift 4","Terrestrial Planet","Iceball","Large","Hyperborean","Type II","Dense","Abyssal","[5/0/6]",""
"119","=D21&"" VII""","","1","Resource Drift 4","Terrestrial Planet","Barren","Tiny","Stygian","Type IV","None","Airless","[0/3/7]",""
"120","=D22&"" VIII""","","1","Resource Drift 4","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/3/7]",""
"121","=D23&"" VIIIa""","","1","Resource Drift 4","Moon","Barren","Small","Stygian","Type I","Trace","Desertic","[0/5/8]",""
"122","=D24&"" VIIIb""","","1","Resource Drift 4","Ring","Ring","Small","Stygian","Type IV","None","N/A","[0/5/7]",""
,,,,,,,,,,,,,
"200","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"200","=D27&"" Nebula""","","2","Resource Drift 4","Anomalous","Reflection Nebula","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"300","[19\12\20]","","","","","","","","","","","[19\12\20]",""
"300","=D30&"" A""","","3","Resource Drift 4","Main Sequence","G-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"301","=D31&"" B""","","3","Resource Drift 4","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"302","=D32&"" I""","","3","Resource Drift 4","Terrestrial Planet","Swamp","Medium","Cool","Type II","Trace","Lacustrine","[5/4/0]",""
"303","=D33&"" II""","","3","Resource Drift 4","Terrestrial Planet","Vents","Large","Frigid","Type III","Dense","Abyssal","[9/0/4]",""
"304","=D34&"" IIa""","","3","Resource Drift 4","Moon","Barren","Small","Frigid","Type III","Thin","Desertic","[1/4/4]",""
"305","=D35&"" III""","","3","Resource Drift 4","Terrestrial Planet","Stygian","Huge","Stygian","Type II","Crushing","Abyssal","[4/0/5]",""
"306","=D36&"" IIIa""","","3","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/4/7]",""
,,,,,,,,,,,,,
"400","[14\89\52]","","","","","","","","","","","[14\89\52]",""
"400","=D39&"" ""","","4","Resource Drift 4","Giant","G-Class Giant","Gargantuan+1","Solar","N/A","N/A","N/A","[3/3/3]",""
"401","=D40&"" I""","","4","Resource Drift 4","Gas Giant","Silicate Giant","Huge","Inferno","Type III","Crushing","N/A","[0/2/3]",""
"402","=D41&"" Ia""","","4","Resource Drift 4","Ring","Ring","Small","Inferno","Type IV","None","N/A","[0/7/2]",""
"403","=D42&"" Ib""","","4","Resource Drift 4","Moon","Scorched","Tiny","Inferno","Type IV","None","Airless","[0/5/0]",""
"404","=D43&"" Ic""","","4","Resource Drift 4","Moon","Scorched","Tiny","Inferno","Type IV","None","Airless","[0/9/5]",""
"405","=D44&"" Id""","","4","Resource Drift 4","Moon","Scorched","Small","Inferno","Type II","Trace","Desertic","[0/7/2]",""
"406","=D45&"" II""","","4","Resource Drift 4","Gas Giant","Silicate Giant","Huge","Torrid","Type III","Crushing","N/A","[0/1/4]",""
"407","=D46&"" IIa""","","4","Resource Drift 4","Ring","Ring","Small","Torrid","Type IV","None","N/A","[0/7/0]",""
"408","=D47&"" IIb""","","4","Resource Drift 4","Moon","Scorched","Tiny","Torrid","Type IV","None","Airless","[0/7/3]",""
"409","=D48&"" III""","","4","Resource Drift 4","Terrestrial Planet","Scorched","Tiny","Hot","Type IV","None","Airless","[2/8/1]",""
"410","=D49&"" IV""","","4","Resource Drift 4","Terrestrial Planet","Desert","Medium","Warm","Type II","Trace","Desertic","[0/5/5]",""
"411","=D50&"" IVa""","","4","Resource Drift 4","Arc","Arc","Tiny","Warm","Type IV","None","N/A","[0/2/8]",""
"412","=D51&"" V""","","4","Resource Drift 4","Terrestrial Planet","Scorched","Tiny","Moderate","Type IV","None","Airless","[4/8/6]","Tidally Locked"
"413","=D52&"" VI""","","4","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Cool","Type III","Crushing","N/A","[2/2/3]",""
"414","=D53&"" VIa""","","4","Resource Drift 4","Moon","Steppe","Tiny","Cool","Type II","Trace","Desertic","[2/4/1]",""
"415","=D54&"" VIb""","","4","Resource Drift 4","Moon","Oceanic","Small","Cool","Type III","Standard","Thalassic","[4/4/6]",""
"416","=D55&"" VIc""","","4","Resource Drift 4","Ring","Ring","Small","Cool","Type IV","None","N/A","[0/4/0]",""
"417","=D56&"" VId""","","4","Resource Drift 4","Ring","Ring","Tiny","Cool","Type IV","None","N/A","[0/7/3]",""
,,,,,,,,,,,,,
"500","[21\61\60]","","","","","","","","","","","[21\61\60]",""
"500","=D59&"" ""","","5","Resource Drift 4","Main Sequence","A-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"501","=D60&"" I""","","5","Resource Drift 4","Terrestrial Planet","Desert","Huge","Hot","Type II","Standard","Lacustrine","[1/7/1]",""
"502","=D61&"" II""","","5","Resource Drift 4","Asteroid Belt","Asteroid Belt","Tiny","Warm","Type IV","None","N/A","[0/12/1]",""
"503","=D62&"" III""","","5","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Moderate","Type III","Crushing","N/A","[4/3/3]",""
"504","=D63&"" IIIa""","","5","Resource Drift 4","Arc","Arc","Tiny","Moderate","Type IV","None","N/A","[0/1/4]",""
"505","=D64&"" IIIb""","","5","Resource Drift 4","Moon","Steppe","Small","Moderate","Type II","Trace","Desertic","[3/10/1]",""
"506","=D65&"" IIIc""","","5","Resource Drift 4","Moon","Pelagic","Small","Moderate","Type II","Thin","Abyssal","[5/0/6]",""
"507","=D66&"" IIId""","","5","Resource Drift 4","Moon","Continental","Small","Moderate","Type II","Trace","Marine","[6/2/6]",""
"508","=D67&"" IV""","","5","Resource Drift 4","Terrestrial Planet","Barren","Tiny","Cool","Type IV","None","Airless","[1/5/5]",""
"509","=D68&"" V""","","5","Resource Drift 4","Gas Giant","Ice Giant","Huge","Hyperborean","Type III","Crushing","N/A","[1/2/7]","Tidally Locked"
"510","=D69&"" Va""","","5","Resource Drift 4","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/5/10]",""
"511","=D70&"" Vb""","","5","Resource Drift 4","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/9/6]",""
"512","=D71&"" Vc""","","5","Resource Drift 4","Ring","Ring","Tiny","Hyperborean","Type IV","None","N/A","[0/4/3]",""
"513","=D72&"" Vd""","","5","Resource Drift 4","Moon","Barren","Small","Hyperborean","Type II","Dense","Thalassic","[0/1/7]",""
,,,,,,,,,,,,,
"600","[2\45\104]","","","","","","","","","","","[2\45\104]",""
"600","=D75&"" ""","","6","Resource Drift 4","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"601","=D76&"" I""","","6","Resource Drift 4","Asteroid Belt","Asteroid Belt","Large","Moderate","Type IV","None","N/A","[0/7/0]",""
"602","=D77&"" II""","","6","Resource Drift 4","Asteroid Belt","Asteroid Belt","Medium","Cool","Type IV","None","N/A","[0/6/1]",""
"603","=D78&"" III""","","6","Resource Drift 4","Gas Giant","Ice Giant","Large","Frigid","Type III","Crushing","N/A","[0/0/8]","Ancient Ruins (FTL)"
"604","=D79&"" IIIa""","","6","Resource Drift 4","Moon","Barren","Tiny","Frigid","Type IV","None","Airless","[0/1/5]",""
"605","=D80&"" IIIb""","","6","Resource Drift 4","Arc","Arc","Small","Frigid","Type IV","None","N/A","[0/0/6]",""
"606","=D81&"" IV""","","6","Resource Drift 4","Terrestrial Planet","Barren","Medium","Hyperborean","Type III","Thin","Lacustrine","[0/2/7]",""
"607","=D82&"" IVa""","","6","Resource Drift 4","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/4/5]",""
"608","=D83&"" V""","","6","Resource Drift 4","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/3/7]","Megafauna"
"609","=D84&"" Va""","","6","Resource Drift 4","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/6/11]",""
"610","=D85&"" Vb""","","6","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/3/10]",""
"611","=D86&"" Vc""","","6","Resource Drift 4","Moon","Barren","Small","Stygian","Type III","Trace","Desertic","[0/3/7]",""
"612","=D87&"" Vd""","","6","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type II","Trace","Desertic","[0/4/11]",""
"613","=D88&"" VI""","","6","Resource Drift 4","Gas Giant","Ice Giant","Huge","Stygian","Type I","Crushing","N/A","[0/1/6]",""
"614","=D89&"" VIa""","","6","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/5/12]",""
"615","=D90&"" VII""","","6","Resource Drift 4","Terrestrial Planet","Stygian","Large","Stygian","Type I","Dense","Abyssal","[2/0/8]",""
,,,,,,,,,,,,,
"700","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"700","=D93&"" Expanse""","","7","Resource Drift 4","Anomalous","Empty Space","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"800","[2\54\70]","","","","","","","","","","","[2\54\70]",""
"800","=D96&"" ""","","8","Resource Drift 4","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]","Em"
"801","=D97&"" I""","","8","Resource Drift 4","Asteroid Belt","Asteroid Belt","Small","Moderate","Type IV","None","N/A","[0/9/2]",""
"802","=D98&"" II""","","8","Resource Drift 4","Terrestrial Planet","Steppe","Small","Cool","Type III","Thin","Desertic","[1/6/1]",""
"803","=D99&"" IIa""","","8","Resource Drift 4","Moon","Barren","Tiny","Cool","Type IV","None","Airless","[0/2/2]",""
"804","=D100&"" III""","","8","Resource Drift 4","Terrestrial Planet","Barren","Large","Hyperborean","Type I","Thin","Desertic","[0/4/10]",""
"805","=D101&"" IV""","","8","Resource Drift 4","Gas Giant","Ice Giant","Enormous","Stygian","Type III","Crushing","N/A","[0/1/8]",""
"806","=D102&"" IVa""","","8","Resource Drift 4","Ring","Ring","Tiny","Stygian","Type IV","None","N/A","[0/6/5]",""
"807","=D103&"" IVb""","","8","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type II","Trace","Desertic","[0/5/6]",""
"808","=D104&"" IVc""","","8","Resource Drift 4","Moon","Frozen","Small","Stygian","Type II","Standard","Lacustrine","[1/1/6]",""
"809","=D105&"" IVd""","","8","Resource Drift 4","Arc","Arc","Tiny","Stygian","Type IV","None","N/A","[0/2/8]",""
"810","=D106&"" IVe""","","8","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/7/6]",""
"811","=D107&"" IVf""","","8","Resource Drift 4","Moon","Barren","Small","Stygian","Type II","Thin","Desertic","[0/6/7]",""
"812","=D108&"" IVg""","","8","Resource Drift 4","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/5/9]",""
,,,,,,,,,,,,,
"900","[30\66\58]","","","","","","","","","","","[30\66\58]",""
"900","=D111&"" ""","","9","Resource Drift 4","Main Sequence","G-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"901","=D112&"" I""","","9","Resource Drift 4","Terrestrial Planet","Atoll","Medium","Hot","Type III","Dense","Abyssal","[8/0/5]",""
"902","=D113&"" Ia""","","9","Resource Drift 4","Moon","Scorched","Tiny","Hot","Type IV","None","Airless","[0/5/1]",""
"903","=D114&"" II""","","9","Resource Drift 4","Gas Giant","Gas Giant","Huge","Moderate","Type III","Crushing","N/A","[6/2/1]","Ambush Zones"
"904","=D115&"" IIa""","","9","Resource Drift 4","Moon","Scorched","Tiny","Moderate","Type III","Trace","Desertic","[0/8/4]",""
"905","=D116&"" IIb""","","9","Resource Drift 4","Moon","Swamp","Small","Moderate","Type I","Dense","Lacustrine","[4/2/4]",""
"906","=D117&"" IIc""","","9","Resource Drift 4","Ring","Ring","Tiny","Moderate","Type IV","None","N/A","[0/5/1]","Spice-Rich"
"907","=D118&"" IId""","","9","Resource Drift 4","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/5/2]",""
"908","=D119&"" IIe""","","9","Resource Drift 4","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/4/2]",""
"909","=D120&"" IIf""","","9","Resource Drift 4","Moon","Pelagic","Small","Moderate","Type II","Thin","Thalassic","[5/0/6]",""
"910","=D121&"" IIg""","","9","Resource Drift 4","Moon","Steppe","Small","Moderate","Type I","Trace","Desertic","[3/7/1]",""
"911","=D122&"" IIh""","","9","Resource Drift 4","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/4/5]",""
"912","=D123&"" III""","","9","Resource Drift 4","Terrestrial Planet","Barren","Tiny","Frigid","Type IV","None","Airless","[0/5/5]",""
"913","=D124&"" IIIa""","","9","Resource Drift 4","Moon","Glaciated","Tiny","Frigid","Type III","Trace","Thalassic","[2/1/4]",""
"914","=D125&"" IV""","","9","Resource Drift 4","Terrestrial Planet","Barren","Huge","Hyperborean","Type I","Standard","Desertic","[2/6/8]","Spice-Rich"
"915","=D126&"" IVa""","","9","Resource Drift 4","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/6/6]",""
"916","=D127&"" IVb""","","9","Resource Drift 4","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/6/3]",""
,,,,,,,,,,,,,
"1000","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"1000","=D130&"" Wormhole""","","10","Resource Drift 4","Anomalous","Delta Wormhole","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"1100","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"1100","=D133&"" Expanse""","","11","Resource Drift 4","Anomalous","Empty Space","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"1200","[10\27\76]","","","","","","","","","","","[10\27\76]",""
"1200","=D136&"" ""","","12","Resource Drift 4","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1201","=D137&"" I""","","12","Resource Drift 4","Asteroid Belt","Asteroid Belt","Huge","Moderate","Type IV","None","N/A","[0/3/2]",""
"1202","=D138&"" II""","","12","Resource Drift 4","Gas Giant","Gas Giant","Gargantuan","Cold","Type III","Crushing","N/A","[3/0/4]",""
"1203","=D139&"" IIa""","","12","Resource Drift 4","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/1/6]",""
"1204","=D140&"" IIb""","","12","Resource Drift 4","Arc","Arc","Tiny","Cold","Type IV","None","N/A","[0/0/6]",""
"1205","=D141&"" IIc""","","12","Resource Drift 4","Moon","Barren","Tiny","Cold","Type III","Trace","Marine","[0/0/4]",""
"1206","=D142&"" IId""","","12","Resource Drift 4","Moon","Alpine","Small","Cold","Type III","Trace","Lacustrine","[3/1/5]",""
"1207","=D143&"" IIe""","","12","Resource Drift 4","Arc","Arc","Tiny","Cold","Type IV","None","N/A","[0/0/4]",""
"1208","=D144&"" IIf""","","12","Resource Drift 4","Ring","Ring","Tiny","Cold","Type IV","None","N/A","[0/3/3]",""
"1209","=D145&"" IIg""","","12","Resource Drift 4","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/5/6]",""
"1210","=D146&"" III""","","12","Resource Drift 4","Asteroid Belt","Asteroid Belt","Medium","Frigid","Type IV","None","N/A","[0/4/2]",""
"1211","=D147&"" IV""","","12","Resource Drift 4","Terrestrial Planet","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/3/9]",""
"1212","=D148&"" V""","","12","Resource Drift 4","Terrestrial Planet","Tempest","Large","Stygian","Type I","Thin","Marine","[0/3/13]",""
"1213","=D149&"" Va""","","12","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/4/7]",""
"1214","=D150&"" VI""","","12","Resource Drift 4","Terrestrial Planet","Stygian","Huge","Stygian","Type II","Crushing","Abyssal","[4/0/5]",""
,,,,,,,,,,,,,
"1300","[11\17\10]","","","","","","","","","","","[11\17\10]",""
"1300","=D153&"" A""","","13","Resource Drift 4","Main Sequence","F-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]","Dm"
"1301","=D154&"" B""","","13","Resource Drift 4","Main Sequence","K-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1302","=D155&"" I""","","13","Resource Drift 4","Terrestrial Planet","Continental","Large","Warm","Type III","Dense","Marine","[4/0/1]",""
"1303","=D156&"" II""","","13","Resource Drift 4","Terrestrial Planet","Steppe","Tiny","Cool","Type II","Trace","Desertic","[3/4/6]",""
"1304","=D157&"" III""","","13","Resource Drift 4","Asteroid Belt","Asteroid Belt","Huge","Cold","Type IV","None","N/A","[0/10/1]",""
"1305","=D158&"" IV""","","13","Resource Drift 4","Terrestrial Planet","Glaciated","Large","Frigid","Type II","Standard","Marine","[4/3/2]",""
,,,,,,,,,,,,,
"1400","[25\130\130]","","","","","","","","","","","[25\130\130]",""
"1400","=D161&"" ""","","14","Resource Drift 4","Main Sequence","K-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1401","=D162&"" I""","","14","Resource Drift 4","Asteroid Belt","Asteroid Belt","Huge","Warm","Type IV","None","N/A","[0/10/1]",""
"1402","=D163&"" II""","","14","Resource Drift 4","Asteroid Belt","Asteroid Belt","Medium","Moderate","Type IV","None","N/A","[0/17/2]",""
"1403","=D164&"" III""","","14","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Cool","Type II","Crushing","N/A","[3/1/3]",""
"1404","=D165&"" IIIa""","","14","Resource Drift 4","Ring","Ring","Tiny","Cool","Type IV","None","N/A","[0/6/0]",""
"1405","=D166&"" IIIb""","","14","Resource Drift 4","Moon","Oceanic","Small","Cool","Type II","Dense","Thalassic","[7/6/1]",""
"1406","=D167&"" IIIc""","","14","Resource Drift 4","Moon","Oceanic","Tiny","Cool","Type III","Trace","Thalassic","[5/2/6]",""
"1407","=D168&"" IIId""","","14","Resource Drift 4","Arc","Arc","Tiny","Cool","Type IV","None","N/A","[0/1/5]",""
"1408","=D169&"" IIIe""","","14","Resource Drift 4","Moon","Swamp","Small","Cool","Type II","Dense","Lacustrine","[3/3/6]",""
"1409","=D170&"" IV""","","14","Resource Drift 4","Asteroid Belt","Asteroid Belt","Medium","Cold","Type IV","None","N/A","[0/11/1]",""
"1410","=D171&"" V""","","14","Resource Drift 4","Terrestrial Planet","Barren","Small","Frigid","Type II","Trace","Desertic","[3/4/2]",""
"1411","=D172&"" VI""","","14","Resource Drift 4","Terrestrial Planet","Barren","Large","Hyperborean","Type I","Trace","Desertic","[0/3/7]",""
"1412","=D173&"" VII""","","14","Resource Drift 4","Asteroid Belt","Asteroid Belt","Large","Stygian","Type IV","None","N/A","[0/9/5]",""
"1413","=D174&"" VIII""","","14","Resource Drift 4","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/3/6]",""
"1414","=D175&"" VIIIa""","","14","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/4/10]",""
"1415","=D176&"" VIIIb""","","14","Resource Drift 4","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/8/7]",""
"1416","=D177&"" VIIIc""","","14","Resource Drift 4","Moon","Barren","Small","Stygian","Type II","Thin","Lacustrine","[0/6/5]",""
"1417","=D178&"" VIIId""","","14","Resource Drift 4","Moon","Tempest","Small","Stygian","Type II","Thin","Marine","[1/5/5]",""
"1418","=D179&"" VIIIe""","","14","Resource Drift 4","Moon","Tempest","Tiny","Stygian","Type I","Trace","Thalassic","[3/3/7]",""
"1419","=D180&"" IX""","","14","Resource Drift 4","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/1/7]",""
"1420","=D181&"" IXa""","","14","Resource Drift 4","Arc","Arc","Small","Stygian","Type IV","None","N/A","[0/2/6]",""
"1421","=D182&"" IXb""","","14","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type II","Trace","Desertic","[0/4/8]",""
"1422","=D183&"" IXc""","","14","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/8/10]",""
"1423","=D184&"" IXd""","","14","Resource Drift 4","Moon","Barren","Small","Stygian","Type III","Trace","Desertic","[0/6/4]",""
"1424","=D185&"" IXe""","","14","Resource Drift 4","Moon","Barren","Small","Stygian","Type II","Dense","Abyssal","[0/1/11]",""
"1425","=D186&"" IXf""","","14","Resource Drift 4","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/6/5]",""
,,,,,,,,,,,,,
"1500","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"1500","=D189&"" Nebula""","","15","Resource Drift 4","Anomalous","Emission Nebula","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"1600","[3\19\40]","","","","","","","","","","","[3\19\40]",""
"1600","=D192&"" ""","","16","Resource Drift 4","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1601","=D193&"" I""","","16","Resource Drift 4","Asteroid Belt","Asteroid Belt","Huge","Moderate","Type IV","None","N/A","[0/6/3]",""
"1602","=D194&"" II""","","16","Resource Drift 4","Terrestrial Planet","Barren","Tiny","Cool","Type IV","None","Airless","[3/4/5]",""
"1603","=D195&"" III""","","16","Resource Drift 4","Terrestrial Planet","Alpine","Tiny","Cold","Type II","Trace","Desertic","[0/3/4]",""
"1604","=D196&"" IV""","","16","Resource Drift 4","Gas Giant","Ice Giant","Huge","Hyperborean","Type III","Crushing","N/A","[0/2/6]",""
"1605","=D197&"" IVa""","","16","Resource Drift 4","Moon","Barren","Tiny","Hyperborean","Type I","Trace","Desertic","[0/4/9]","Spice-Rich"
"1606","=D198&"" V""","","16","Resource Drift 4","Terrestrial Planet","Tempest","Huge","Stygian","Type II","Standard","Marine","[0/0/7]",""
"1607","=D199&"" Va""","","16","Resource Drift 4","Moon","Barren","Small","Stygian","Type II","Thin","Marine","[0/0/6]",""
,,,,,,,,,,,,,
"1700","[40\123\119]","","","","","","","","","","","[40\123\119]",""
"1700","=D202&"" ""","","17","Resource Drift 4","Main Sequence","G-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]","Es"
"1701","=D203&"" I""","","17","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Hot","Type III","Crushing","N/A","[4/1/2]",""
"1702","=D204&"" Ia""","","17","Resource Drift 4","Moon","Scorched","Tiny","Hot","Type III","Trace","Desertic","[0/6/6]",""
"1703","=D205&"" Ib""","","17","Resource Drift 4","Ring","Ring","Small","Hot","Type IV","None","N/A","[0/4/3]",""
"1704","=D206&"" Ic""","","17","Resource Drift 4","Moon","Scorched","Tiny","Hot","Type IV","None","Airless","[0/6/4]",""
"1705","=D207&"" Id""","","17","Resource Drift 4","Moon","Arid","Small","Hot","Type II","Standard","Marine","[6/1/5]",""
"1706","=D208&"" Ie""","","17","Resource Drift 4","Moon","Scorched","Tiny","Hot","Type IV","None","Airless","[0/5/4]",""
"1707","=D209&"" If""","","17","Resource Drift 4","Moon","Scorched","Small","Hot","Type IV","None","Airless","[0/6/3]",""
"1708","=D210&"" II""","","17","Resource Drift 4","Gas Giant","Gas Giant","Enormous","Moderate","Type III","Crushing","N/A","[5/3/1]",""
"1709","=D211&"" IIa""","","17","Resource Drift 4","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/2/1]",""
"1710","=D212&"" IIb""","","17","Resource Drift 4","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/4/3]",""
"1711","=D213&"" IIc""","","17","Resource Drift 4","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/1/2]",""
"1712","=D214&"" IId""","","17","Resource Drift 4","Ring","Ring","Tiny","Moderate","Type IV","None","N/A","[0/5/3]",""
"1713","=D215&"" IIe""","","17","Resource Drift 4","Moon","Steppe","Tiny","Moderate","Type II","Trace","Desertic","[1/8/6]",""
"1714","=D216&"" IIf""","","17","Resource Drift 4","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/9/5]",""
"1715","=D217&"" IIg""","","17","Resource Drift 4","Ring","Ring","Tiny","Moderate","Type IV","None","N/A","[0/4/1]",""
"1716","=D218&"" III""","","17","Resource Drift 4","Gas Giant","Gas Giant","Gargantuan","Cool","Type III","Crushing","N/A","[3/3/1]",""
"1717","=D219&"" IIIa""","","17","Resource Drift 4","Moon","Barren","Small","Cool","Type I","Thin","Desertic","[0/10/5]",""
