"100","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"100","=D2&"" Expanse""","","1","Resource Drift -2","Anomalous","Empty Space","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"200","[0\48\57]","","","","","","","","","","","[0\48\57]",""
"200","=D5&"" ""","","2","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"201","=D6&"" I""","","2","Resource Drift -2","Terrestrial Planet","Swamp","Large","Moderate","Type II","Trace","Lacustrine","[0/1/5]",""
"202","=D7&"" II""","","2","Resource Drift -2","Gas Giant","Gas Giant","Gargantuan","Cool","Type III","Crushing","N/A","[0/0/0]",""
"203","=D8&"" IIa""","","2","Resource Drift -2","Ring","Ring","Tiny","Cool","Type IV","None","N/A","[0/0/0]",""
"204","=D9&"" IIb""","","2","Resource Drift -2","Ring","Ring","Tiny","Cool","Type IV","None","N/A","[0/0/1]",""
"205","=D10&"" IIc""","","2","Resource Drift -2","Moon","Barren","Small","Cool","Type III","Dense","Desertic","[0/0/2]",""
"206","=D11&"" IId""","","2","Resource Drift -2","Ring","Ring","Tiny","Cool","Type IV","None","N/A","[0/3/0]",""
"207","=D12&"" III""","","2","Resource Drift -2","Asteroid Belt","Asteroid Belt","Medium","Cold","Type IV","None","N/A","[0/7/0]",""
"208","=D13&"" IV""","","2","Resource Drift -2","Asteroid Belt","Asteroid Belt","Large","Hyperborean","Type IV","None","N/A","[0/10/1]",""
"209","=D14&"" V""","","2","Resource Drift -2","Terrestrial Planet","Barren","Tiny","Stygian","Type IV","None","Airless","[0/2/4]",""
"210","=D15&"" VI""","","2","Resource Drift -2","Terrestrial Planet","Barren","Large","Stygian","Type I","Dense","Desertic","[0/4/7]",""
"211","=D16&"" VII""","","2","Resource Drift -2","Terrestrial Planet","Stygian","Medium","Stygian","Type III","Standard","Abyssal","[0/0/5]",""
"212","=D17&"" VIIa""","","2","Resource Drift -2","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/4/5]",""
"213","=D18&"" VIII""","","2","Resource Drift -2","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/2/6]",""
"214","=D19&"" VIIIa""","","2","Resource Drift -2","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/6/4]",""
"215","=D20&"" VIIIb""","","2","Resource Drift -2","Ring","Ring","Small","Stygian","Type IV","None","N/A","[0/1/1]",""
"216","=D21&"" VIIIc""","","2","Resource Drift -2","Moon","Barren","Small","Stygian","Type III","Dense","Marine","[0/3/6]",""
"217","=D22&"" VIIId""","","2","Resource Drift -2","Ring","Ring","Small","Stygian","Type IV","None","N/A","[0/5/4]","Distortion Gate"
"218","=D23&"" VIIIe""","","2","Resource Drift -2","Arc","Arc","Tiny","Stygian","Type IV","None","N/A","[0/0/6]",""
,,,,,,,,,,,,,
"300","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"300","=D26&"" Nova Remnant""","","3","Resource Drift -2","Anomalous","Nova Remnant","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"400","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"400","=D29&"" Expanse""","","4","Resource Drift -2","Anomalous","Empty Space","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"500","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"500","=D32&"" Wormhole""","","5","Resource Drift -2","Anomalous","Zeta Wormhole","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"600","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"600","=D35&"" Wormhole""","","6","Resource Drift -2","Anomalous","Delta Wormhole","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"700","[0\94\33]","","","","","","","","","","","[0\94\33]",""
"700","=D38&"" ""","","7","Resource Drift -2","Main Sequence","A-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"701","=D39&"" I""","","7","Resource Drift -2","Gas Giant","Silicate Giant","Huge","Inferno","Type III","Crushing","N/A","[0/1/0]",""
"702","=D40&"" Ia""","","7","Resource Drift -2","Moon","Scorched","Small","Inferno","Type II","Thin","Desertic","[0/7/0]",""
"703","=D41&"" Ib""","","7","Resource Drift -2","Ring","Ring","Tiny","Inferno","Type IV","None","N/A","[0/4/2]",""
"704","=D42&"" Ic""","","7","Resource Drift -2","Moon","Scorched","Small","Inferno","Type IV","None","Airless","[0/10/0]",""
"705","=D43&"" Id""","","7","Resource Drift -2","Moon","Scorched","Tiny","Inferno","Type IV","None","Airless","[0/6/2]",""
"706","=D44&"" II""","","7","Resource Drift -2","Gas Giant","Silicate Giant","Enormous","Torrid","Type III","Crushing","N/A","[0/2/2]",""
"707","=D45&"" IIa""","","7","Resource Drift -2","Ring","Ring","Tiny","Torrid","Type IV","None","N/A","[0/3/1]",""
"708","=D46&"" IIb""","","7","Resource Drift -2","Moon","Scorched","Small","Torrid","Type III","Thin","Desertic","[0/7/0]",""
"709","=D47&"" IIc""","","7","Resource Drift -2","Moon","Scorched","Tiny","Torrid","Type IV","None","Airless","[0/8/1]",""
"710","=D48&"" III""","","7","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Hot","Type I","Crushing","N/A","[0/1/0]",""
"711","=D49&"" IIIa""","","7","Resource Drift -2","Moon","Scorched","Tiny","Hot","Type IV","None","Airless","[0/8/1]",""
"712","=D50&"" IIIb""","","7","Resource Drift -2","Ring","Ring","Tiny","Hot","Type IV","None","N/A","[0/4/2]",""
"713","=D51&"" IIIc""","","7","Resource Drift -2","Ring","Ring","Small","Hot","Type IV","None","N/A","[0/4/0]",""
"714","=D52&"" IIId""","","7","Resource Drift -2","Ring","Ring","Small","Hot","Type IV","None","N/A","[0/4/1]",""
"715","=D53&"" IV""","","7","Resource Drift -2","Asteroid Belt","Asteroid Belt","Small","Moderate","Type IV","None","N/A","[0/6/0]",""
"716","=D54&"" V""","","7","Resource Drift -2","Gas Giant","Gas Giant","Huge","Cool","Type III","Crushing","N/A","[0/0/1]",""
"717","=D55&"" Va""","","7","Resource Drift -2","Moon","Barren","Small","Cool","Type III","Dense","Lacustrine","[0/3/4]",""
"718","=D56&"" Vb""","","7","Resource Drift -2","Moon","Barren","Tiny","Cool","Type III","Trace","Desertic","[0/2/3]",""
"719","=D57&"" Vc""","","7","Resource Drift -2","Moon","Barren","Tiny","Cool","Type IV","None","Airless","[0/5/5]",""
"720","=D58&"" Vd""","","7","Resource Drift -2","Moon","Barren","Tiny","Cool","Type IV","None","Airless","[0/3/4]",""
"721","=D59&"" VI""","","7","Resource Drift -2","Terrestrial Planet","Barren","Tiny","Frigid","Type IV","None","Airless","[0/6/4]",""
,,,,,,,,,,,,,
"800","[1\32\21]","","","","","","","","","","","[1\32\21]",""
"800","=D62&"" A""","","8","Resource Drift -2","Main Sequence","G-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"801","=D63&"" B""","","8","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"802","=D64&"" I""","","8","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Warm","Type III","Crushing","N/A","[0/1/1]",""
"803","=D65&"" Ia""","","8","Resource Drift -2","Ring","Ring","Small","Warm","Type IV","None","N/A","[0/4/1]",""
"804","=D66&"" Ib""","","8","Resource Drift -2","Moon","Scorched","Small","Warm","Type IV","None","Airless","[0/2/0]",""
"805","=D67&"" Ic""","","8","Resource Drift -2","Ring","Ring","Small","Warm","Type IV","None","N/A","[0/4/0]",""
"806","=D68&"" II""","","8","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Cold","Type III","Crushing","N/A","[1/0/1]",""
"807","=D69&"" IIa""","","8","Resource Drift -2","Ring","Ring","Small","Cold","Type IV","None","N/A","[0/2/0]",""
"808","=D70&"" IIb""","","8","Resource Drift -2","Ring","Ring","Small","Cold","Type IV","None","N/A","[0/2/2]",""
"809","=D71&"" IIc""","","8","Resource Drift -2","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/1/4]",""
"810","=D72&"" IId""","","8","Resource Drift -2","Moon","Barren","Small","Cold","Type IV","None","Airless","[0/4/1]",""
"811","=D73&"" III""","","8","Resource Drift -2","Terrestrial Planet","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/5/5]",""
"812","=D74&"" IIIa""","","8","Resource Drift -2","Arc","Arc","Small","Hyperborean","Type IV","None","N/A","[0/2/3]",""
"813","=D75&"" IV""","","8","Resource Drift -2","Asteroid Belt","Asteroid Belt","Huge","Stygian","Type IV","None","N/A","[0/5/3]",""
,,,,,,,,,,,,,
"900","[7\26\30]","","","","","","","","","","","[7\26\30]",""
"900","=D78&"" ""","","9","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"901","=D79&"" I""","","9","Resource Drift -2","Gas Giant","Gas Giant","Gargantuan","Moderate","Type III","Crushing","N/A","[1/0/0]",""
"902","=D80&"" Ia""","","9","Resource Drift -2","Moon","Pelagic","Small","Moderate","Type II","Dense","Abyssal","[6/0/3]",""
"903","=D81&"" Ib""","","9","Resource Drift -2","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/0/2]",""
"904","=D82&"" II""","","9","Resource Drift -2","Terrestrial Planet","Frozen","Small","Stygian","Type II","Thin","Lacustrine","[0/3/5]",""
"905","=D83&"" III""","","9","Resource Drift -2","Terrestrial Planet","Barren","Tiny","Stygian","Type IV","None","Airless","[0/4/3]",""
"906","=D84&"" IV""","","9","Resource Drift -2","Terrestrial Planet","Tempest","Huge","Stygian","Type II","Very Dense","Thalassic","[0/2/8]",""
"907","=D85&"" IVa""","","9","Resource Drift -2","Moon","Barren","Small","Stygian","Type II","Thin","Lacustrine","[0/4/6]",""
"908","=D86&"" V""","","9","Resource Drift -2","Asteroid Belt","Asteroid Belt","Huge","Stygian","Type IV","None","N/A","[0/13/3]",""
,,,,,,,,,,,,,
"1000","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"1000","=D89&"" Hyperspace Anomaly""","","10","Resource Drift -2","Anomalous","Hyperspace Anomaly","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"1100","[0\0\0]","","","","","","","","","","","[0\0\0]",""
"1100","=D92&"" Expanse""","","11","Resource Drift -2","Anomalous","Empty Space","N/A","N/A","N/A","N/A","N/A","[3/3/3]",""
,,,,,,,,,,,,,
"1200","[8\47\48]","","","","","","","","","","","[8\47\48]",""
"1200","=D95&"" ""","","12","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1201","=D96&"" I""","","12","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Moderate","Type III","Crushing","N/A","[4/1/0]","Megafauna"
"1202","=D97&"" Ia""","","12","Resource Drift -2","Moon","Scorched","Small","Moderate","Type III","Thin","Marine","[0/4/5]",""
"1203","=D98&"" Ib""","","12","Resource Drift -2","Moon","Scorched","Small","Moderate","Type IV","None","Airless","[0/3/2]",""
"1204","=D99&"" Ic""","","12","Resource Drift -2","Moon","Continental","Small","Moderate","Type II","Thin","Marine","[4/0/0]",""
"1205","=D100&"" Id""","","12","Resource Drift -2","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/4/4]",""
"1206","=D101&"" Ie""","","12","Resource Drift -2","Ring","Ring","Tiny","Moderate","Type IV","None","N/A","[0/3/1]",""
"1207","=D102&"" If""","","12","Resource Drift -2","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/6/2]",""
"1208","=D103&"" II""","","12","Resource Drift -2","Asteroid Belt","Asteroid Belt","Large","Cold","Type IV","None","N/A","[0/12/0]",""
"1209","=D104&"" III""","","12","Resource Drift -2","Gas Giant","Ice Giant","Huge","Frigid","Type I","Crushing","N/A","[0/0/2]",""
"1210","=D105&"" IIIa""","","12","Resource Drift -2","Arc","Arc","Tiny","Frigid","Type IV","None","N/A","[0/2/3]","Mineral Deposits"
"1211","=D106&"" IIIb""","","12","Resource Drift -2","Moon","Barren","Small","Frigid","Type II","Thin","Thalassic","[0/2/6]",""
"1212","=D107&"" IIIc""","","12","Resource Drift -2","Moon","Barren","Small","Frigid","Type IV","None","Airless","[0/5/1]",""
"1213","=D108&"" IIId""","","12","Resource Drift -2","Moon","Barren","Small","Frigid","Type II","Thin","Thalassic","[0/2/5]",""
"1214","=D109&"" IIIe""","","12","Resource Drift -2","Arc","Arc","Small","Frigid","Type IV","None","N/A","[0/0/3]",""
"1215","=D110&"" IV""","","12","Resource Drift -2","Terrestrial Planet","Barren","Medium","Stygian","Type IV","None","Airless","[0/0/3]",""
"1216","=D111&"" V""","","12","Resource Drift -2","Terrestrial Planet","Barren","Tiny","Stygian","Type II","Trace","Desertic","[0/1/8]",""
"1217","=D112&"" Va""","","12","Resource Drift -2","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/2/3]",""
,,,,,,,,,,,,,
"1300","[2\29\26]","","","","","","","","","","","[2\29\26]",""
"1300","=D115&"" ""","","13","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1301","=D116&"" I""","","13","Resource Drift -2","Terrestrial Planet","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/5/4]",""
"1302","=D117&"" II""","","13","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Cold","Type III","Crushing","N/A","[0/1/0]",""
"1303","=D118&"" IIa""","","13","Resource Drift -2","Moon","Barren","Small","Cold","Type IV","None","Airless","[0/4/1]",""
"1304","=D119&"" IIb""","","13","Resource Drift -2","Moon","Arctic","Small","Cold","Type III","Thin","Marine","[2/1/0]",""
"1305","=D120&"" IIc""","","13","Resource Drift -2","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/2/0]",""
"1306","=D121&"" IId""","","13","Resource Drift -2","Ring","Ring","Small","Cold","Type IV","None","N/A","[0/5/2]",""
"1307","=D122&"" III""","","13","Resource Drift -2","Terrestrial Planet","Iceball","Medium","Hyperborean","Type II","Standard","Abyssal","[0/0/4]",""
"1308","=D123&"" IIIa""","","13","Resource Drift -2","Moon","Barren","Small","Hyperborean","Type III","Trace","Lacustrine","[0/0/2]",""
"1309","=D124&"" IIIb""","","13","Resource Drift -2","Ring","Ring","Small","Hyperborean","Type IV","None","N/A","[0/4/3]",""
"1310","=D125&"" IV""","","13","Resource Drift -2","Terrestrial Planet","Barren","Medium","Stygian","Type IV","None","Airless","[0/5/8]",""
"1311","=D126&"" IVa""","","13","Resource Drift -2","Ring","Ring","Tiny","Stygian","Type IV","None","N/A","[0/2/2]",""
,,,,,,,,,,,,,
"1400","[0\47\47]","","","","","","","","","","","[0\47\47]",""
"1400","=D129&"" ""","","14","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1401","=D130&"" I""","","14","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Moderate","Type III","Crushing","N/A","[0/1/0]",""
"1402","=D131&"" Ia""","","14","Resource Drift -2","Ring","Ring","Tiny","Moderate","Type IV","None","N/A","[0/4/0]",""
"1403","=D132&"" Ib""","","14","Resource Drift -2","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/4/0]",""
"1404","=D133&"" Ic""","","14","Resource Drift -2","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/3/0]",""
"1405","=D134&"" II""","","14","Resource Drift -2","Gas Giant","Gas Giant","Huge","Cold","Type III","Crushing","N/A","[0/0/1]",""
"1406","=D135&"" IIa""","","14","Resource Drift -2","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/4/2]",""
"1407","=D136&"" IIb""","","14","Resource Drift -2","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/0/5]",""
"1408","=D137&"" IIc""","","14","Resource Drift -2","Ring","Ring","Tiny","Cold","Type IV","None","N/A","[0/1/2]",""
"1409","=D138&"" IId""","","14","Resource Drift -2","Ring","Ring","Tiny","Cold","Type IV","None","N/A","[0/2/1]",""
"1410","=D139&"" III""","","14","Resource Drift -2","Asteroid Belt","Asteroid Belt","Medium","Frigid","Type IV","None","N/A","[0/5/0]",""
"1411","=D140&"" IV""","","14","Resource Drift -2","Terrestrial Planet","Stygian","Small","Stygian","Type II","Standard","Abyssal","[0/1/3]",""
"1412","=D141&"" V""","","14","Resource Drift -2","Asteroid Belt","Asteroid Belt","Tiny","Stygian","Type IV","None","N/A","[0/1/2]",""
"1413","=D142&"" VI""","","14","Resource Drift -2","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/0/4]",""
"1414","=D143&"" VIa""","","14","Resource Drift -2","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/5/8]",""
"1415","=D144&"" VIb""","","14","Resource Drift -2","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/4/7]",""
"1416","=D145&"" VIc""","","14","Resource Drift -2","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/5/2]",""
"1417","=D146&"" VId""","","14","Resource Drift -2","Ring","Ring","Small","Stygian","Type IV","None","N/A","[0/7/2]","Radioactives"
"1418","=D147&"" VIe""","","14","Resource Drift -2","Moon","Barren","Small","Stygian","Type II","Standard","Abyssal","[0/0/8]",""
,,,,,,,,,,,,,
"1500","[0\18\53]","","","","","","","","","","","[0\18\53]",""
"1500","=D150&"" ""","","15","Resource Drift -2","Main Sequence","M-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1501","=D151&"" I""","","15","Resource Drift -2","Asteroid Belt","Asteroid Belt","Medium","Cool","Type IV","None","N/A","[0/11/0]",""
"1502","=D152&"" II""","","15","Resource Drift -2","Gas Giant","Ice Giant","Enormous","Hyperborean","Type III","Crushing","N/A","[0/0/3]",""
"1503","=D153&"" IIa""","","15","Resource Drift -2","Ring","Ring","Small","Hyperborean","Type IV","None","N/A","[0/1/1]",""
"1504","=D154&"" IIb""","","15","Resource Drift -2","Arc","Arc","Small","Hyperborean","Type IV","None","N/A","[0/0/4]",""
"1505","=D155&"" IIc""","","15","Resource Drift -2","Moon","Barren","Small","Hyperborean","Type IV","None","Airless","[0/3/7]",""
"1506","=D156&"" IId""","","15","Resource Drift -2","Moon","Barren","Small","Hyperborean","Type IV","None","Airless","[0/0/4]",""
"1507","=D157&"" IIe""","","15","Resource Drift -2","Moon","Barren","Small","Hyperborean","Type III","Standard","Lacustrine","[0/0/8]",""
"1508","=D158&"" IIf""","","15","Resource Drift -2","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/1/7]",""
"1509","=D159&"" IIg""","","15","Resource Drift -2","Moon","Barren","Small","Hyperborean","Type IV","None","Airless","[0/2/2]",""
"1510","=D160&"" IIh""","","15","Resource Drift -2","Arc","Arc","Small","Hyperborean","Type IV","None","N/A","[0/0/4]",""
"1511","=D161&"" III""","","15","Resource Drift -2","Terrestrial Planet","Tempest","Huge","Stygian","Type II","Thin","Marine","[0/0/9]",""
"1512","=D162&"" IIIa""","","15","Resource Drift -2","Moon","Barren","Small","Stygian","Type I","Thin","Lacustrine","[0/0/4]",""
,,,,,,,,,,,,,
"1600","[18\108\74]","","","","","","","","","","","[18\108\74]",""
"1600","=D165&"" ""","","16","Resource Drift -2","Main Sequence","G-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]",""
"1601","=D166&"" I""","","16","Resource Drift -2","Gas Giant","Gas Giant","Gargantuan","Hot","Type III","Crushing","N/A","[0/0/0]",""
"1602","=D167&"" Ia""","","16","Resource Drift -2","Moon","Scorched","Tiny","Hot","Type II","Trace","Desertic","[0/6/1]",""
"1603","=D168&"" Ib""","","16","Resource Drift -2","Ring","Ring","Small","Hot","Type IV","None","N/A","[0/3/0]",""
"1604","=D169&"" Ic""","","16","Resource Drift -2","Ring","Ring","Small","Hot","Type IV","None","N/A","[0/3/0]",""
"1605","=D170&"" Id""","","16","Resource Drift -2","Arc","Arc","Tiny","Hot","Type IV","None","N/A","[0/1/1]",""
"1606","=D171&"" Ie""","","16","Resource Drift -2","Ring","Ring","Tiny","Hot","Type IV","None","N/A","[0/4/0]",""
"1607","=D172&"" If""","","16","Resource Drift -2","Moon","Scorched","Tiny","Hot","Type IV","None","Airless","[0/5/2]",""
"1608","=D173&"" Ig""","","16","Resource Drift -2","Moon","Scorched","Small","Hot","Type II","Thin","Desertic","[0/5/5]",""
"1609","=D174&"" Ih""","","16","Resource Drift -2","Moon","Scorched","Small","Hot","Type II","Thin","Desertic","[0/7/3]",""
"1610","=D175&"" II""","","16","Resource Drift -2","Terrestrial Planet","Continental","Large","Warm","Type II","Trace","Marine","[2/1/4]",""
"1611","=D176&"" III""","","16","Resource Drift -2","Gas Giant","Gas Giant","Enormous","Moderate","Type III","Crushing","N/A","[3/2/0]",""
"1612","=D177&"" IIIa""","","16","Resource Drift -2","Ring","Ring","Small","Moderate","Type IV","None","N/A","[0/3/0]",""
"1613","=D178&"" IIIb""","","16","Resource Drift -2","Moon","Pelagic","Small","Moderate","Type I","Thin","Thalassic","[3/3/0]",""
"1614","=D179&"" IIIc""","","16","Resource Drift -2","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/2/4]",""
"1615","=D180&"" IIId""","","16","Resource Drift -2","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/5/3]",""
"1616","=D181&"" IIIe""","","16","Resource Drift -2","Moon","Scorched","Small","Moderate","Type IV","None","Airless","[0/7/4]",""
"1617","=D182&"" IIIf""","","16","Resource Drift -2","Moon","Scorched","Tiny","Moderate","Type IV","None","Airless","[0/7/1]",""
"1618","=D183&"" IIIg""","","16","Resource Drift -2","Moon","Pelagic","Small","Moderate","Type II","Thin","Thalassic","[4/0/1]",""
"1619","=D184&"" IV""","","16","Resource Drift -2","Asteroid Belt","Asteroid Belt","Large","Cool","Type IV","None","N/A","[0/15/0]",""
"1620","=D185&"" V""","","16","Resource Drift -2","Terrestrial Planet","Vents","Small","Cold","Type II","Dense","Abyssal","[3/0/1]",""
